timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
181976.579,-62.988,-25.391,-36.133,-55.664,0.000,0
181976.583,-21.484,-19.531,-29.297,-34.180,0.000,0
181976.587,-23.438,-29.297,-54.199,-20.508,0.000,0
181976.591,-33.691,-30.762,-45.898,-37.598,0.000,0
181976.595,-34.668,-11.230,-16.602,-45.898,0.000,0
181976.599,-22.949,-15.137,-17.578,-20.996,0.000,0
181976.603,-10.254,-26.855,-37.598,-13.672,0.000,0
181976.606,-2.441,-16.113,-31.738,0.488,0.000,0
181976.610,-15.625,-9.277,-8.301,-11.230,0.000,0
181976.614,-18.066,-19.043,-22.949,-33.203,0.000,0
181976.618,-7.324,-23.926,-33.691,-27.832,0.000,0
181976.622,-13.184,-20.996,-28.809,-26.855,0.000,0
181976.626,-25.391,-3.418,-10.742,-31.250,0.000,0
181976.630,-6.836,-0.488,-1.953,-49.805,0.000,0
181976.634,11.719,-9.277,-20.508,-29.297,0.000,0
181976.638,0.977,-18.066,-32.715,-28.809,0.000,0
181976.642,-38.086,-31.250,-44.922,-73.242,0.000,0
181976.645,-58.105,-27.832,-51.270,-56.641,0.000,0
181976.649,-33.691,-23.926,-49.805,-17.090,0.000,0
181976.653,-10.254,-22.949,-39.062,-9.766,0.000,0
181976.657,-0.977,-12.695,-17.090,-15.137,0.000,0
181976.661,-12.207,-10.254,-7.812,-24.414,0.000,0
181976.665,-18.555,-19.531,-25.391,-30.273,0.000,0
181976.669,1.953,-21.484,-32.715,-7.812,0.000,0
181976.673,-5.371,-26.367,-25.879,-0.488,0.000,0
181976.677,-37.598,-33.691,-41.016,-27.344,0.000,0
181976.681,-34.180,-28.809,-40.039,-40.527,0.000,0
181976.685,-5.371,-20.996,-26.367,-7.812,0.000,0
181976.688,-4.395,-8.789,-21.973,5.371,0.000,0
181976.692,-17.578,5.371,-15.137,-13.184,0.000,0
181976.696,-37.598,-22.461,-34.668,-37.598,0.000,0
181976.700,-25.879,-36.621,-39.062,-41.992,0.000,0
181976.704,-10.254,-26.367,-39.062,-24.414,0.000,0
181976.708,-14.648,-21.973,-39.062,-23.926,0.000,0
181976.712,-14.648,-9.766,-23.926,-20.508,0.000,0
181976.716,3.418,-5.859,-20.020,0.977,0.000,0
181976.720,0.000,-15.137,-20.020,-3.418,0.000,0
181976.724,-31.250,-22.461,-36.133,-24.902,0.000,0
181976.728,-63.965,-32.715,-47.363,-54.199,0.000,0
181976.731,-60.547,-34.180,-46.875,-56.152,0.000,0
181976.735,-19.531,-28.809,-40.527,-19.043,0.000,0
181976.739,-21.484,-26.855,-36.621,-41.016,0.000,0
181976.743,-34.668,-27.832,-50.781,-90.332,0.000,0
181976.747,-26.367,-8.301,-39.551,-45.410,0.000,0
181976.751,-2.441,7.324,-10.742,13.184,0.000,0
181976.755,8.789,-3.418,-2.441,10.254,0.000,0
181976.759,-20.508,-15.625,-12.207,-29.785,0.000,0
181976.763,-46.387,-22.461,-32.227,-55.176,0.000,0
181976.767,-41.992,-21.484,-35.645,-30.273,0.000,0
181976.770,-30.762,-20.996,-34.668,-18.066,0.000,0
181976.774,-42.969,-24.414,-39.551,-41.504,0.000,0
181976.778,-57.617,-30.762,-37.109,-69.336,0.000,0
181976.782,-41.016,-25.391,-33.691,-55.664,0.000,0
181976.786,-22.949,-21.973,-34.668,-9.277,0.000,0
181976.790,-19.043,-25.879,-38.086,-16.602,0.000,0
181976.794,-22.461,-20.020,-34.668,-52.734,0.000,0
181976.798,-33.203,-24.414,-41.504,-61.523,0.000,0
181976.802,-18.555,-33.691,-63.477,-41.504,0.000,0
181976.806,-1.465,-24.414,-44.434,-34.180,0.000,0
181976.810,-24.902,-13.672,-20.508,-46.387,0.000,0
181976.813,-27.832,-11.719,-24.414,-35.156,0.000,0
181976.817,-6.836,-19.043,-22.949,-44.922,0.000,0
181976.821,0.488,-20.020,-26.855,-23.438,0.000,0
181976.825,-25.879,-19.043,-33.203,-18.066,0.000,0
181976.829,-52.734,-31.250,-41.016,-74.707,0.000,0
181976.833,-27.344,-23.926,-35.645,-48.340,0.000,0
181976.837,9.766,-7.812,-20.996,-17.578,0.000,0
181976.841,-4.883,0.977,-14.648,-32.227,0.000,0
181976.845,-37.109,-1.465,-3.906,-53.711,0.000,0
181976.849,-15.625,-5.371,-14.648,-34.180,0.000,0
181976.853,7.324,1.465,-28.320,6.348,0.000,0
181976.856,-14.160,-12.207,-29.785,-24.902,0.000,0
181976.860,-44.922,-27.832,-34.668,-48.828,0.000,0
181976.864,-44.434,-24.414,-29.297,-29.297,0.000,0
181976.868,-21.484,-18.555,-18.066,-6.348,0.000,0
181976.872,-15.137,-16.602,-21.484,0.000,0.000,0
181976.876,-31.250,-16.602,-23.926,-25.391,0.000,0
181976.880,-27.832,-15.625,-17.090,-38.086,0.000,0
181976.884,-12.207,-12.207,-16.113,-16.113,0.000,0
181976.888,-13.184,-3.418,-6.836,10.254,0.000,0
181976.892,8.301,9.277,-10.742,12.695,0.000,0
181976.895,-20.020,-8.789,-33.203,-32.227,0.000,0
181976.899,-53.711,-27.832,-39.551,-40.039,0.000,0
181976.903,-21.484,-27.344,-34.668,-2.441,0.000,0
181976.907,-20.996,-24.902,-16.113,-11.230,0.000,0
181976.911,-33.691,-17.090,-7.812,-28.809,0.000,0
181976.915,-22.461,-16.113,-14.160,-26.367,0.000,0
181976.919,-0.488,-9.277,-6.836,-3.418,0.000,0
181976.923,-20.020,-6.836,-2.441,1.465,0.000,0
181976.927,-60.547,-17.578,-29.785,-38.086,0.000,0
181976.931,-56.152,-27.344,-61.035,-40.039,0.000,0
181976.935,-26.367,-26.855,-45.410,-18.555,0.000,0
181976.938,-13.184,-17.578,-19.043,-30.762,0.000,0
181976.942,-25.391,-20.996,-28.809,-35.645,0.000,0
181976.946,-28.320,-12.695,-23.926,-41.992,0.000,0
181976.950,-24.414,-5.371,-9.766,-12.695,0.000,0
181976.954,1.953,-7.812,-14.648,21.973,0.000,0
181976.958,8.789,-9.766,-20.508,-18.555,0.000,0
181976.962,-29.297,-15.137,-28.809,-44.922,0.000,0
181976.966,-25.391,-18.555,-29.297,-10.742,0.000,0
181976.970,3.906,-19.043,-38.086,0.977,0.000,0
181976.974,-15.625,-19.043,-45.410,-19.043,0.000,0
181976.978,-18.066,-12.695,-28.809,-36.133,0.000,0
181976.981,-9.277,-12.207,-27.344,-30.273,0.000,0
181976.985,-9.277,-17.578,-32.715,-2.930,0.000,0
181976.989,-16.602,-23.926,-36.133,7.324,0.000,0
181976.993,-41.992,-28.320,-32.227,-26.855,0.000,0
181976.997,-45.410,-27.344,-26.855,-41.504,0.000,0
181977.001,-14.160,-30.762,-39.551,-7.324,0.000,0
181977.005,-1.465,-27.344,-41.992,0.000,0.000,0
181977.009,-32.227,-23.438,-29.785,-36.621,0.000,0
181977.013,-32.715,-22.949,-35.645,-42.480,0.000,0
181977.017,-18.066,-31.250,-57.129,-35.645,0.000,0
181977.020,-25.879,-29.297,-41.992,-23.926,0.000,0
181977.024,-17.578,-14.160,-10.742,-22.949,0.000,0
181977.028,-1.953,-4.395,-6.348,-23.926,0.000,0
181977.032,0.000,-7.324,-17.578,-2.930,0.000,0
181977.036,-30.273,-20.508,-35.645,-13.184,0.000,0
181977.040,-45.410,-25.879,-39.551,-34.668,0.000,0
181977.044,-34.668,-22.949,-35.156,-40.039,0.000,0
181977.048,-16.602,-26.367,-30.762,-35.645,0.000,0
181977.052,12.695,-22.461,-25.879,-5.859,0.000,0
181977.056,0.977,-20.020,-26.855,-11.719,0.000,0
181977.060,5.859,-6.836,-18.066,-32.227,0.000,0
181977.063,13.672,-0.488,-22.949,-11.230,0.000,0
181977.067,-0.977,-15.625,-27.832,1.953,0.000,0
181977.071,1.465,-15.137,-17.090,1.953,0.000,0
181977.075,-3.906,-16.113,-20.996,-18.066,0.000,0
181977.079,-17.090,-16.113,-23.438,-33.203,0.000,0
181977.083,-21.484,-13.672,-25.879,-11.719,0.000,0
181977.087,-9.277,-15.625,-28.809,5.371,0.000,0
181977.091,-13.184,-20.996,-24.414,-15.137,0.000,0
181977.095,-38.574,-30.762,-35.156,-57.129,0.000,0
181977.099,-33.691,-27.832,-34.668,-47.363,0.000,0
181977.103,-16.602,-26.855,-35.645,-11.230,0.000,0
181977.106,-20.996,-28.809,-43.457,-13.184,0.000,0
181977.110,-36.133,-20.508,-22.949,-43.457,0.000,0
181977.114,-28.320,-13.184,-24.414,-41.504,0.000,0
181977.118,-0.977,-14.648,-45.410,1.953,0.000,0
181977.122,-15.137,-15.625,-39.062,-20.508,0.000,0
181977.126,-34.180,-9.766,-26.855,-26.367,0.000,0
181977.130,-6.348,-12.695,-33.203,-0.488,0.000,0
181977.134,-0.977,-18.555,-33.203,-10.742,0.000,0
181977.138,-12.695,-6.836,-16.113,-2.441,0.000,0
181977.142,-14.648,-2.930,-12.695,-11.719,0.000,0
181977.145,-18.066,-8.301,-27.344,-31.738,0.000,0
181977.149,-21.973,-10.254,-25.879,-14.648,0.000,0
181977.153,-28.320,-17.090,-21.484,-18.066,0.000,0
181977.157,-41.992,-19.043,-23.438,-51.270,0.000,0
181977.161,-43.945,-20.020,-36.133,-53.711,0.000,0
181977.165,-5.371,-10.254,-36.133,-6.836,0.000,0
181977.169,9.766,1.953,-16.602,10.742,0.000,0
181977.173,-11.719,1.465,-1.465,-21.973,0.000,0
181977.177,-11.230,7.324,1.953,-6.348,0.000,0
181977.181,-1.953,-2.930,-8.301,19.043,0.000,0
181977.185,-6.836,-29.297,-44.434,10.254,0.000,0
181977.188,-44.434,-35.645,-57.617,-18.066,0.000,0
181977.192,-69.336,-22.461,-33.203,-56.641,0.000,0
181977.196,-43.457,-23.926,-38.574,-41.016,0.000,0
181977.200,-22.949,-27.832,-41.504,-9.766,0.000,0
181977.204,-19.043,-19.531,-18.555,-2.441,0.000,0
181977.208,-20.508,-13.184,-22.461,-36.133,0.000,0
181977.212,-23.926,-23.438,-41.992,-76.660,0.000,0
181977.216,-36.133,-31.738,-33.203,-40.527,0.000,0
181977.220,-20.996,-20.996,-17.090,-7.324,0.000,0
181977.224,-15.137,-13.184,-14.648,-24.902,0.000,0
181977.228,-26.855,-16.602,-24.414,-47.363,0.000,0
181977.231,-37.598,-27.344,-32.227,-54.199,0.000,0
181977.235,-31.250,-27.344,-37.109,-30.762,0.000,0
181977.239,-33.203,-20.020,-41.016,-32.227,0.000,0
181977.243,-47.363,-20.996,-27.344,-49.316,0.000,0
181977.247,-38.086,-20.508,-30.273,-27.832,0.000,0
181977.251,-17.578,-2.930,-18.555,-1.953,0.000,0
181977.255,-33.691,-11.230,-15.625,-21.973,0.000,0
181977.259,-68.359,-27.344,-38.574,-56.152,0.000,0
181977.263,-67.871,-28.809,-48.828,-52.246,0.000,0
181977.267,-12.695,-18.555,-35.645,-18.555,0.000,0
181977.270,-9.277,-0.488,-9.277,-4.395,0.000,0
181977.274,-23.438,-3.418,-2.441,-26.367,0.000,0
181977.278,-32.227,-26.367,-26.367,-41.992,0.000,0
181977.282,-43.457,-33.691,-43.945,-32.227,0.000,0
181977.286,-41.992,-29.785,-44.434,-20.996,0.000,0
181977.290,-49.316,-26.367,-39.062,-49.316,0.000,0
181977.294,-52.246,-20.996,-51.758,-70.801,0.000,0
181977.298,-47.852,-34.180,-64.453,-54.688,0.000,0
181977.302,-55.176,-41.992,-45.898,-41.992,0.000,0
181977.306,-44.922,-13.184,-9.277,-18.066,0.000,0
181977.310,-39.551,-10.254,-3.906,-35.156,0.000,0
181977.313,-32.715,-22.461,-21.973,-41.504,0.000,0
181977.317,-25.391,-16.602,-24.414,-5.859,0.000,0
181977.321,-24.414,-4.883,-10.254,0.977,0.000,0
181977.325,-41.992,-9.277,-17.578,-28.809,0.000,0
181977.329,-50.293,-15.625,-22.461,-47.852,0.000,0
181977.333,-26.855,-11.719,-18.066,-29.297,0.000,0
181977.337,-39.551,-24.902,-29.785,-28.809,0.000,0
181977.341,-67.383,-38.574,-40.039,-49.805,0.000,0
181977.345,-66.895,-39.062,-40.527,-57.129,0.000,0
181977.349,-43.457,-31.250,-33.203,-40.527,0.000,0
181977.353,-32.227,-22.949,-17.578,-27.344,0.000,0
181977.356,-33.203,-23.438,-22.949,-41.016,0.000,0
181977.360,-30.273,-8.301,-16.602,-42.480,0.000,0
181977.364,-15.625,5.859,17.578,-6.348,0.000,0
181977.368,-19.043,-11.230,2.930,-10.254,0.000,0
181977.372,-20.996,-15.625,-19.531,-38.086,0.000,0
181977.376,-38.086,-20.020,-23.438,-51.758,0.000,0
181977.380,-36.133,-31.250,-36.133,-31.250,0.000,0
181977.384,11.719,-16.113,-20.996,16.602,0.000,0
181977.388,21.973,-0.977,-8.789,20.508,0.000,0
181977.392,2.930,-3.906,-9.766,-13.672,0.000,0
181977.395,2.930,-6.348,-14.648,-14.160,0.000,0
181977.399,7.324,-9.766,-28.809,1.465,0.000,0
181977.403,-1.953,-15.625,-22.949,8.789,0.000,0
181977.407,-23.438,-15.625,-21.973,-24.902,0.000,0
181977.411,-41.504,-9.277,-23.438,-53.711,0.000,0
181977.415,-16.602,1.465,-3.906,-10.254,0.000,0
181977.419,24.414,21.484,17.090,31.250,0.000,0
181977.423,1.465,11.719,1.953,1.465,0.000,0
181977.427,-47.363,-21.973,-20.508,-45.898,0.000,0
