timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
28329.869,-48.828,-17.090,-35.156,-88.379,0.000,0
28329.873,-29.297,10.254,-129.883,-12.207,0.000,0
28329.877,-26.855,1.465,-184.082,-16.113,0.000,0
28329.881,-58.105,-4.883,-137.695,-59.082,0.000,0
28329.885,-103.027,-31.250,-53.711,-111.328,0.000,0
28329.889,-75.684,-21.973,-99.121,-89.355,0.000,0
28329.893,-50.293,8.789,-179.199,-45.410,0.000,0
28329.897,-62.988,6.348,-179.199,-47.363,0.000,0
28329.900,-94.727,6.348,-107.910,-12.207,0.000,0
28329.904,-122.070,-36.133,-106.934,-86.914,0.000,0
28329.908,-107.910,-32.715,-174.805,-117.676,0.000,0
28329.912,-98.145,-9.766,-178.711,-68.359,0.000,0
28329.916,-100.586,-31.250,-177.246,-87.402,0.000,0
28329.920,-93.262,-39.062,-182.129,-86.426,0.000,0
28329.924,-89.844,-52.734,-119.629,-144.043,0.000,0
28329.928,-94.238,-41.016,-72.266,-173.828,0.000,0
28329.932,-101.074,-6.836,-45.898,-114.258,0.000,0
28329.936,-118.652,-31.738,-99.121,-83.496,0.000,0
28329.940,-119.141,-50.781,-174.316,-84.473,0.000,0
28329.943,-114.258,-29.297,-17.090,-117.188,0.000,0
28329.947,-111.328,-26.367,-35.156,-114.258,0.000,0
28329.951,-68.848,-29.297,-217.773,-72.266,0.000,0
28329.955,-22.949,-0.488,-132.812,-38.574,0.000,0
28329.959,-33.691,19.043,-75.684,-16.602,0.000,0
28329.963,-45.898,-9.277,16.113,-82.031,0.000,0
28329.967,-10.742,10.742,91.309,-88.867,0.000,0
28329.971,-5.859,44.922,-40.039,-23.438,0.000,0
28329.975,20.996,48.340,-84.961,31.250,0.000,0
28329.979,37.109,61.523,11.230,75.684,0.000,0
28329.983,-0.488,36.133,70.801,28.320,0.000,0
28329.986,2.930,9.766,40.039,-34.668,0.000,0
28329.990,49.805,80.078,104.492,37.598,0.000,0
28329.994,62.988,85.449,123.535,37.109,0.000,0
28329.998,75.195,67.871,5.371,54.199,0.000,0
28330.002,48.828,67.871,95.215,70.801,0.000,0
28330.006,13.672,59.570,141.113,25.391,0.000,0
28330.010,28.320,73.730,5.371,57.129,0.000,0
28330.014,17.578,56.152,-23.926,51.758,0.000,0
28330.018,29.785,69.336,2.930,64.453,0.000,0
28330.022,20.996,61.523,56.641,30.273,0.000,0
28330.025,-42.969,22.461,32.227,-34.180,0.000,0
28330.029,-27.832,20.020,-31.738,-16.113,0.000,0
28330.033,-4.395,37.598,28.809,-2.930,0.000,0
28330.037,1.465,63.477,-28.809,51.270,0.000,0
28330.041,-27.344,32.227,-138.184,20.508,0.000,0
28330.045,-60.547,-19.043,-172.852,-77.148,0.000,0
28330.049,-41.504,22.949,-105.957,-7.324,0.000,0
28330.053,-36.621,53.223,-52.246,73.730,0.000,0
28330.057,-46.387,-10.742,-205.078,-3.906,0.000,0
28330.061,-120.117,-74.219,-146.484,-100.098,0.000,0
28330.065,-169.922,-106.445,-78.125,-180.664,0.000,0
28330.068,-141.113,-90.332,-196.777,-155.273,0.000,0
28330.072,-163.086,-83.496,-220.215,-108.887,0.000,0
28330.076,-192.871,-91.309,-227.051,-86.914,0.000,0
28330.080,-216.797,-117.676,-117.676,-112.305,0.000,0
28330.084,-188.965,-124.512,-3.906,-141.113,0.000,0
28330.088,-101.074,-91.797,-138.672,-79.102,0.000,0
28330.092,-86.914,-83.008,-149.414,-69.824,0.000,0
28330.096,-113.770,-93.262,-76.172,-79.102,0.000,0
28330.100,-115.723,-104.980,-58.105,-71.289,0.000,0
28330.104,-131.348,-125.488,-36.133,-147.461,0.000,0
28330.108,-115.234,-81.055,-30.273,-109.863,0.000,0
28330.111,-75.195,-49.805,-5.859,-40.039,0.000,0
28330.115,-42.480,-68.848,-51.758,-30.762,0.000,0
28330.119,-31.738,-49.805,-15.625,-16.602,0.000,0
28330.123,-40.527,0.000,92.285,-2.441,0.000,0
28330.127,39.551,75.195,82.520,85.449,0.000,0
28330.131,143.066,110.352,66.406,146.484,0.000,0
