timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
161093.111,-30.273,-6.836,8.301,-38.086,0.000,0
161093.115,-33.203,-6.836,6.348,-6.836,0.000,0
161093.119,-25.879,-1.953,17.090,5.371,0.000,0
161093.123,-31.250,-0.488,18.555,-20.996,0.000,0
161093.127,-31.250,-6.348,30.762,-33.691,0.000,0
161093.131,-17.578,-6.348,24.902,-18.066,0.000,0
161093.135,-22.949,0.000,8.789,-5.859,0.000,0
161093.138,-32.227,-3.906,-6.348,-20.508,0.000,0
161093.142,-32.715,-10.254,-4.883,-11.230,0.000,0
161093.146,-25.879,-11.719,20.508,-20.020,0.000,0
161093.150,-16.602,-10.254,16.602,-29.297,0.000,0
161093.154,-22.461,-10.254,-6.836,-16.113,0.000,0
161093.158,-29.297,-15.137,-8.789,-14.648,0.000,0
161093.162,-32.715,-16.602,6.348,-22.461,0.000,0
161093.166,-38.574,-17.090,12.207,-32.227,0.000,0
161093.170,-33.203,-16.602,-0.977,-25.879,0.000,0
161093.174,-26.855,-17.578,-7.324,-9.277,0.000,0
161093.178,-28.320,-21.973,-1.953,-10.742,0.000,0
161093.181,-23.926,-25.391,-17.090,-7.324,0.000,0
161093.185,-31.738,-25.391,-14.648,-21.484,0.000,0
161093.189,-32.715,-24.902,-1.465,-33.203,0.000,0
161093.193,-25.879,-24.902,-1.953,-15.137,0.000,0
161093.197,-9.277,-25.391,-9.277,-3.418,0.000,0
161093.201,0.488,-22.949,-13.672,-7.812,0.000,0
161093.205,-14.160,-20.508,-3.906,-12.695,0.000,0
161093.209,-15.625,-20.996,-6.836,-10.254,0.000,0
161093.213,-13.184,-22.461,-9.277,2.930,0.000,0
161093.217,-2.930,-22.461,-4.883,9.766,0.000,0
161093.221,-6.836,-22.949,-16.113,-3.906,0.000,0
161093.224,-14.648,-23.438,-14.648,-23.438,0.000,0
161093.228,-2.930,-20.996,-8.301,-27.832,0.000,0
161093.232,-5.859,-17.090,-18.555,-15.625,0.000,0
161093.236,-14.160,-16.602,-9.277,-4.883,0.000,0
161093.240,-13.184,-22.949,-8.301,-4.395,0.000,0
161093.244,-11.230,-21.973,-13.672,-13.672,0.000,0
161093.248,-9.766,-17.090,-7.812,-20.996,0.000,0
161093.252,-13.672,-21.973,-27.832,-17.090,0.000,0
161093.256,-20.020,-23.926,-37.598,-2.441,0.000,0
161093.260,-11.719,-22.461,-30.273,-2.930,0.000,0
161093.263,-5.371,-27.832,-16.602,-2.930,0.000,0
161093.267,-20.996,-27.832,-19.531,-0.977,0.000,0
161093.271,-31.250,-27.832,-31.738,-21.484,0.000,0
161093.275,-28.320,-34.180,-36.621,-30.762,0.000,0
161093.279,-26.367,-33.691,-21.484,-21.973,0.000,0
161093.283,-27.344,-31.738,-9.277,-22.949,0.000,0
161093.287,-30.273,-31.250,-34.668,-26.367,0.000,0
161093.291,-30.273,-31.738,-39.062,-15.137,0.000,0
161093.295,-26.855,-33.691,-29.785,-3.906,0.000,0
161093.299,-21.484,-31.250,-34.180,-14.160,0.000,0
161093.303,-24.414,-33.203,-30.273,-33.203,0.000,0
161093.306,-29.297,-28.320,-28.320,-28.809,0.000,0
161093.310,-30.273,-29.297,-39.551,-34.180,0.000,0
161093.314,-37.109,-36.133,-38.574,-35.156,0.000,0
161093.318,-35.645,-37.109,-38.086,-24.414,0.000,0
161093.322,-13.672,-29.297,-28.320,-27.832,0.000,0
161093.326,-16.602,-27.832,-19.531,-26.855,0.000,0
161093.330,-23.438,-28.320,-32.227,-28.320,0.000,0
161093.334,-21.484,-24.902,-36.133,-29.297,0.000,0
161093.338,-30.762,-28.809,-32.715,-25.879,0.000,0
161093.342,-37.109,-27.832,-16.602,-38.574,0.000,0
161093.346,-31.250,-24.902,-12.207,-39.062,0.000,0
161093.349,-29.785,-30.762,-41.504,-33.691,0.000,0
161093.353,-40.527,-32.227,-41.992,-35.645,0.000,0
161093.357,-28.809,-23.926,-22.949,-5.859,0.000,0
161093.361,-20.020,-22.461,-16.113,-9.277,0.000,0
161093.365,-29.297,-28.320,-19.043,-16.113,0.000,0
161093.369,-35.156,-30.762,-33.691,-12.207,0.000,0
161093.373,-43.457,-29.785,-34.180,-30.762,0.000,0
161093.377,-37.109,-22.461,-36.133,-24.414,0.000,0
161093.381,-34.668,-25.391,-25.879,-31.250,0.000,0
161093.385,-28.809,-29.785,-21.973,-39.062,0.000,0
161093.388,-29.297,-30.273,-34.180,-41.992,0.000,0
161093.392,-42.480,-32.715,-33.691,-41.016,0.000,0
161093.396,-32.715,-31.738,-35.156,-25.391,0.000,0
