timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
212885.461,34.668,38.086,21.484,25.391,30.762,0
212885.465,39.551,37.598,23.926,24.414,13.184,0
212885.469,25.879,32.715,19.043,21.973,4.883,0
212885.473,22.461,38.086,14.648,29.297,10.742,0
212885.477,26.855,45.898,20.508,22.949,20.020,0
212885.481,21.973,41.504,27.344,19.043,6.836,0
212885.484,15.625,37.109,29.297,24.414,21.484,0
212885.488,17.578,40.527,31.738,22.949,15.137,0
212885.492,22.461,39.062,27.344,17.578,4.883,0
212885.496,19.531,33.203,26.855,26.367,46.875,0
212885.500,14.160,33.203,29.297,32.715,63.965,0
212885.504,16.113,33.691,29.297,26.855,66.406,0
212885.508,15.625,34.180,27.832,23.926,65.430,0
212885.512,13.672,33.691,24.902,22.949,89.355,0
212885.516,9.766,33.203,27.832,26.367,113.770,0
212885.520,8.301,34.668,24.902,23.926,76.172,0
212885.524,14.648,37.598,27.832,27.344,21.973,0
212885.527,17.090,38.086,25.879,31.738,-1.465,0
212885.531,9.766,34.180,14.160,16.602,28.809,0
212885.535,7.812,33.203,19.043,6.348,-1.465,0
212885.539,10.742,36.621,24.414,6.348,-11.230,0
212885.543,9.766,36.621,26.855,17.578,63.965,0
212885.547,15.625,34.668,26.367,29.785,35.645,0
212885.551,20.020,38.574,17.090,31.738,26.367,0
212885.555,16.113,39.062,18.066,26.855,47.363,0
212885.559,14.160,34.180,30.762,25.879,45.898,0
212885.563,20.508,37.598,36.621,30.762,23.926,0
212885.567,21.973,39.551,29.297,27.344,29.297,0
212885.570,19.043,40.039,28.809,23.438,54.199,0
212885.574,19.043,39.551,31.738,28.809,37.109,0
212885.578,15.625,32.227,25.879,26.855,19.531,0
212885.582,11.230,30.273,20.996,13.184,38.086,0
212885.586,8.301,32.715,25.879,18.066,31.738,0
212885.590,8.301,31.738,26.367,33.203,13.184,0
212885.594,13.672,35.645,21.973,32.715,25.391,0
212885.598,17.578,38.574,27.344,32.227,34.668,0
212885.602,19.531,36.621,35.645,32.227,23.438,0
212885.606,24.902,38.086,32.715,29.297,-9.277,0
212885.609,24.902,38.086,31.738,31.250,-9.766,0
212885.613,22.461,40.527,29.785,32.227,-26.855,0
212885.617,20.508,43.945,27.832,32.715,4.883,0
212885.621,15.137,37.598,32.227,28.320,23.926,0
212885.625,9.766,29.785,33.203,16.602,-4.395,0
212885.629,10.742,26.367,30.273,9.766,-14.648,0
212885.633,12.207,25.391,28.809,15.625,36.133,0
212885.637,10.254,28.809,27.344,15.137,61.035,0
212885.641,12.695,35.645,25.391,9.277,13.672,0
212885.645,18.555,38.086,27.344,18.066,34.180,0
212885.649,22.461,34.180,25.391,19.043,68.848,0
212885.652,26.855,34.668,16.602,15.625,43.457,0
212885.656,29.297,34.668,20.508,16.602,18.555,1
212885.660,28.809,34.180,29.785,14.160,15.137,0
212885.664,34.668,36.621,34.180,20.996,33.203,0
212885.668,34.668,37.109,37.109,28.809,37.598,0
212885.672,27.344,33.203,36.621,17.578,41.016,0
212885.676,20.996,27.344,28.809,9.766,53.711,0
212885.680,16.602,26.367,26.367,16.113,59.570,0
212885.684,20.996,31.738,27.832,19.531,51.758,0
212885.688,21.484,36.133,15.625,12.695,7.324,0
212885.692,19.531,33.691,17.090,15.137,27.832,0
212885.695,26.367,32.227,24.414,23.926,72.266,0
212885.699,29.785,34.668,27.832,21.973,34.668,0
212885.703,31.250,36.133,32.227,21.973,-19.531,0
212885.707,26.855,34.668,28.809,23.438,-9.277,0
212885.711,22.461,31.250,30.273,24.414,26.367,0
212885.715,25.879,29.785,36.133,14.160,30.762,0
212885.719,24.902,32.227,30.762,0.488,3.906,0
212885.723,19.531,32.227,27.344,4.883,-0.488,0
212885.727,20.508,36.133,30.273,11.719,37.109,0
212885.731,21.484,39.551,24.414,11.230,54.688,0
212885.734,15.625,36.621,25.879,8.301,59.082,0
212885.738,13.672,34.180,24.414,12.695,34.668,0
212885.742,16.113,33.691,19.531,20.996,43.945,0
212885.746,20.508,38.574,26.367,17.578,61.523,0
212885.750,20.996,34.668,29.785,11.230,47.852,0
212885.754,12.695,26.855,29.785,13.184,10.742,0
212885.758,7.324,27.832,33.691,11.230,3.418,0
212885.762,5.371,26.855,33.691,11.230,-6.836,0
212885.766,9.277,26.367,28.320,14.160,9.277,0
212885.770,14.648,28.320,30.762,19.531,75.195,0
212885.774,23.438,33.203,32.715,25.879,83.008,0
212885.777,22.949,37.598,31.250,17.090,64.941,0
212885.781,16.602,35.645,35.156,14.160,45.410,0
212885.785,15.137,35.156,35.156,20.508,52.246,0
212885.789,10.742,36.133,28.320,14.648,39.551,0
212885.793,10.254,37.598,31.250,19.531,-7.324,0
212885.797,10.254,38.574,33.691,23.926,20.996,0
212885.801,5.371,34.668,32.715,18.066,40.039,0
212885.805,4.395,34.668,26.367,20.996,45.410,0
212885.809,9.277,36.621,20.996,25.879,42.480,0
212885.813,10.254,36.133,29.785,22.949,48.340,0
212885.817,12.695,37.598,30.273,21.484,47.852,0
212885.820,17.090,35.645,26.367,16.602,25.879,0
212885.824,13.672,29.297,26.367,12.695,13.184,0
212885.828,12.207,27.832,29.297,24.414,46.875,0
212885.832,15.625,34.180,37.598,29.297,25.879,0
212885.836,15.137,34.668,33.691,31.250,7.324,0
212885.840,16.113,35.156,26.367,27.832,62.988,0
212885.844,16.602,38.086,29.785,22.949,38.574,0
212885.848,11.230,34.668,30.762,18.066,-9.766,0
212885.852,10.742,33.203,33.203,19.531,-16.602,0
212885.856,11.230,35.645,31.738,20.996,-27.344,0
212885.859,10.254,35.645,30.273,18.066,-14.160,0
212885.863,15.137,33.691,33.203,22.461,-12.695,0
212885.867,18.555,34.668,29.785,16.113,-20.996,0
212885.871,10.742,37.109,31.738,12.695,12.695,0
212885.875,7.324,37.598,34.668,24.902,39.062,0
212885.879,7.324,33.691,32.715,25.879,58.105,0
212885.883,9.277,29.785,34.180,22.461,59.570,0
212885.887,20.508,35.156,38.086,37.109,62.500,0
212885.891,24.414,40.527,37.109,35.156,47.852,0
212885.895,17.090,34.668,26.855,11.719,10.742,0
212885.899,11.719,27.832,24.902,12.207,26.855,0
212885.902,11.230,28.809,24.414,20.996,20.508,0
212885.906,12.207,29.785,28.809,24.414,-6.836,0
212885.910,14.648,28.320,40.039,21.484,-40.039,0
212885.914,15.625,30.273,38.574,17.578,-29.785,0
212885.918,15.137,30.273,36.133,27.344,-3.906,0
212885.922,12.695,28.809,34.668,28.320,-19.043,0
212885.926,14.648,31.738,31.250,20.996,19.531,0
212885.930,20.996,34.180,34.180,21.484,46.875,0
212885.934,17.090,32.227,33.203,20.508,47.363,0
212885.938,20.996,34.668,33.691,17.578,65.430,0
212885.942,29.785,37.598,34.668,24.414,119.629,0
212885.945,24.902,35.156,30.273,32.715,120.117,0
212885.949,18.555,33.203,28.809,33.203,56.641,0
212885.953,13.184,29.297,30.273,18.066,42.480,0
212885.957,16.113,30.273,31.250,8.301,34.668,0
212885.961,20.508,33.203,35.645,20.508,15.625,0
212885.965,20.996,29.297,33.203,27.344,44.434,0
212885.969,26.367,30.762,28.320,27.344,58.105,0
212885.973,27.344,36.621,27.832,29.297,39.062,0
212885.977,21.973,35.645,30.762,27.832,47.363,0
212885.981,14.160,32.715,31.250,25.879,73.730,0
212885.984,16.602,33.203,27.344,23.438,80.566,0
