timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
109581.828,-0.977,-9.766,-2.930,5.371,0.000,0
109581.832,-9.766,-13.672,-6.348,-1.465,0.000,0
109581.836,-6.836,-18.555,1.465,-9.766,0.000,0
109581.840,-3.906,-20.508,17.090,-10.742,0.000,0
109581.844,-21.973,-20.020,4.883,-4.395,0.000,0
109581.848,-16.602,-16.113,-11.719,10.742,0.000,0
109581.852,0.977,-17.578,0.488,4.395,0.000,0
109581.855,-9.277,-21.484,20.020,4.395,0.000,0
109581.859,-20.996,-18.555,19.531,3.906,0.000,0
109581.863,-25.879,-20.508,-11.719,-0.488,0.000,0
109581.867,-17.578,-20.020,-8.301,0.488,0.000,0
109581.871,-8.789,-16.113,19.531,7.324,0.000,0
109581.875,-14.648,-20.020,2.441,5.371,0.000,0
109581.879,-19.531,-30.273,-23.438,-6.348,0.000,0
109581.883,-24.414,-28.809,-20.020,-4.883,0.000,0
109581.887,-32.715,-29.297,-13.672,-6.348,0.000,0
109581.891,-33.203,-31.738,-16.113,-12.207,0.000,0
109581.895,-24.414,-22.461,-29.297,-3.906,0.000,0
109581.898,-17.090,-18.555,-33.203,-3.418,0.000,0
109581.902,-28.809,-25.391,-4.395,-7.812,0.000,0
109581.906,-34.668,-32.227,-6.348,-1.953,0.000,0
109581.910,-23.438,-29.297,-34.668,-0.488,0.000,0
109581.914,-16.113,-23.926,-41.504,-7.812,0.000,0
109581.918,-17.578,-25.879,-21.484,-13.672,0.000,0
109581.922,-22.949,-27.344,-8.789,-15.137,0.000,0
109581.926,-17.578,-20.996,-33.691,-12.695,0.000,0
109581.930,-18.555,-19.531,-47.852,-14.648,0.000,0
109581.934,-26.367,-24.414,-42.969,-20.508,0.000,0
109581.938,-25.391,-26.855,-30.273,-27.832,0.000,0
109581.941,-30.273,-24.414,-25.391,-37.109,0.000,0
109581.945,-33.691,-19.043,-47.363,-18.066,0.000,0
109581.949,-27.832,-14.160,-52.734,-11.719,0.000,0
109581.953,-19.043,-18.066,-33.203,-25.879,0.000,0
109581.957,-17.578,-20.996,-20.996,-22.461,0.000,0
109581.961,-20.020,-24.414,-34.180,-31.250,0.000,0
109581.965,-35.156,-24.902,-48.828,-33.203,0.000,0
109581.969,-26.855,-15.625,-26.855,-22.461,0.000,0
109581.973,-13.672,-14.160,-13.184,-7.812,0.000,0
109581.977,-18.066,-22.461,-29.297,-4.883,0.000,0
109581.980,-27.832,-24.414,-41.504,-19.043,0.000,0
109581.984,-13.672,-20.020,-41.016,-18.555,0.000,0
109581.988,-18.066,-20.508,-23.926,-14.648,0.000,0
109581.992,-30.762,-20.020,-20.996,-15.625,0.000,0
109581.996,-19.043,-23.438,-50.293,-23.926,0.000,0
109582.000,-19.043,-26.367,-43.945,-33.203,0.000,0
109582.004,-12.695,-21.484,-16.113,-26.855,0.000,0
109582.008,-4.883,-19.531,-16.602,-23.926,0.000,0
109582.012,-5.371,-15.137,-44.434,-20.020,0.000,0
109582.016,0.977,-11.719,-48.828,-22.949,0.000,0
109582.020,-9.766,-13.184,-16.602,-30.762,0.000,0
109582.023,-17.578,-14.648,-19.043,-22.949,0.000,0
109582.027,-18.066,-14.160,-41.016,-16.113,0.000,0
109582.031,-17.578,-13.672,-50.293,-18.066,0.000,0
109582.035,-10.254,-17.090,-25.879,-16.113,0.000,0
109582.039,-16.602,-22.949,0.000,-19.531,0.000,0
109582.043,-16.113,-20.996,-34.668,-19.043,0.000,0
109582.047,-19.043,-25.879,-63.477,-21.973,0.000,0
109582.051,-21.484,-28.809,-48.828,-22.461,0.000,0
109582.055,-8.301,-24.414,-23.438,-22.949,0.000,0
109582.059,-16.113,-19.043,-24.414,-28.320,0.000,0
109582.063,-20.020,-9.277,-48.340,-13.672,0.000,0
109582.066,-14.160,-14.160,-49.805,-11.230,0.000,0
109582.070,-18.555,-20.508,-33.691,-16.602,0.000,0
109582.074,-17.090,-18.555,-25.879,-15.625,0.000,0
109582.078,-15.137,-19.043,-36.621,-26.855,0.000,0
109582.082,-11.230,-16.113,-52.734,-25.391,0.000,0
109582.086,-21.973,-21.973,-55.176,-26.367,0.000,0
109582.090,-34.668,-27.832,-55.176,-32.715,0.000,0
109582.094,-20.996,-23.438,-57.617,-31.250,0.000,0
109582.098,-22.949,-22.461,-36.621,-33.691,0.000,0
109582.102,-27.832,-22.461,-40.527,-28.320,0.000,0
109582.105,-12.695,-20.020,-37.109,-19.531,0.000,0
109582.109,-18.555,-14.160,-32.227,-24.414,0.000,0
109582.113,-30.762,-17.578,-71.289,-16.602,0.000,0
109582.117,-20.996,-21.973,-62.988,-35.156,0.000,0
109582.121,-35.645,-22.949,-68.359,-25.879,0.000,0
109582.125,-105.957,-19.531,-200.684,91.797,0.000,0
109582.129,-139.160,-22.461,-266.602,134.766,0.000,0
109582.133,-118.164,-24.414,-235.840,108.398,0.000,0
109582.137,-97.656,-22.949,-174.316,90.332,0.000,0
109582.141,-84.961,-23.926,-123.535,47.852,0.000,0
109582.145,-92.285,-24.414,-135.742,69.336,0.000,0
109582.148,-118.164,-24.902,-182.129,140.625,0.000,0
109582.152,-105.957,-24.902,-159.180,114.746,0.000,0
109582.156,-90.820,-27.832,-100.098,50.781,0.000,0
109582.160,-77.637,-24.902,-90.332,23.926,0.000,0
109582.164,-58.594,-20.508,-113.770,26.367,0.000,0
109582.168,-43.945,-20.020,-83.984,-0.488,0.000,0
109582.172,-46.387,-21.973,-35.156,-20.996,0.000,0
109582.176,-45.898,-19.043,-33.203,-29.297,0.000,0
109582.180,-40.527,-16.602,-50.293,-44.922,0.000,0
109582.184,-26.855,-16.602,-25.879,-52.734,0.000,0
109582.188,-8.789,-7.812,15.137,-55.664,0.000,0
109582.191,-14.160,-14.160,-3.906,-64.941,0.000,0
109582.195,-18.066,-19.043,-19.043,-73.730,0.000,0
109582.199,-7.812,-17.090,-5.371,-72.754,0.000,0
109582.203,-7.812,-20.508,8.789,-69.336,0.000,0
109582.207,-13.672,-22.461,10.254,-81.543,0.000,0
109582.211,-18.066,-19.043,-9.766,-82.520,0.000,0
109582.215,-17.090,-15.137,-13.184,-67.871,0.000,0
109582.219,-7.812,-16.113,5.371,-71.777,0.000,0
109582.223,-5.371,-16.113,17.578,-68.359,0.000,0
109582.227,-8.301,-16.113,-12.207,-63.477,0.000,0
109582.230,-9.766,-15.137,-24.902,-67.383,0.000,0
109582.234,-15.137,-15.625,15.137,-65.918,0.000,0
109582.238,-16.602,-24.414,22.949,-62.500,0.000,0
109582.242,-16.602,-27.832,-7.812,-58.105,0.000,0
109582.246,-25.391,-31.250,-24.902,-64.941,0.000,0
109582.250,-19.531,-30.762,-13.672,-63.477,0.000,0
109582.254,-10.742,-27.832,1.465,-61.035,0.000,0
109582.258,-17.578,-30.273,15.137,-71.289,0.000,0
109582.262,-22.461,-29.785,-5.859,-69.336,0.000,0
109582.266,-17.578,-25.879,-35.156,-49.316,0.000,0
109582.270,-6.348,-23.438,-13.184,-46.387,0.000,0
109582.273,-1.953,-20.020,7.324,-44.434,0.000,0
109582.277,-13.184,-19.531,7.324,-49.316,0.000,0
