timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
160107.236,-32.227,-20.508,-41.992,-28.809,0.000,0
160107.240,-37.598,-20.996,-21.484,-37.109,0.000,0
160107.244,-33.691,-18.555,-22.949,-35.645,0.000,0
160107.248,-31.738,-19.531,-54.688,-27.344,0.000,0
160107.252,-35.645,-22.949,-56.152,-28.320,0.000,0
160107.256,-41.992,-17.090,-33.691,-7.324,0.000,0
160107.260,-30.762,-15.137,-43.945,-26.367,0.000,0
160107.263,-18.555,-15.625,-51.270,-45.410,0.000,0
160107.267,-26.855,-14.648,-44.434,-25.391,0.000,0
160107.271,-34.180,-20.020,-23.926,-22.949,0.000,0
160107.275,-28.809,-21.973,-43.457,-25.391,0.000,0
160107.279,-38.086,-20.020,-52.246,-34.180,0.000,0
160107.283,-42.969,-17.090,-30.273,-43.457,0.000,0
160107.287,-36.133,-19.531,-38.086,-36.621,0.000,0
160107.291,-34.668,-23.926,-38.574,-32.227,0.000,0
160107.295,-37.598,-24.414,-47.363,-24.414,0.000,0
160107.299,-26.855,-23.926,-41.016,-26.855,0.000,0
160107.303,-22.461,-20.020,-26.367,-18.066,0.000,0
160107.306,-21.484,-20.508,-46.387,-11.719,0.000,0
160107.310,-13.184,-21.973,-41.016,-24.414,0.000,0
160107.314,-14.160,-16.113,-20.020,-20.996,0.000,0
160107.318,-9.766,-11.230,-26.367,-23.926,0.000,0
160107.322,4.395,-10.254,-48.828,-34.180,0.000,0
160107.326,-8.789,-11.230,-39.062,-32.227,0.000,0
160107.330,-22.461,-14.648,-31.738,-25.391,0.000,0
160107.334,-16.602,-15.625,-43.457,-24.902,0.000,0
160107.338,-20.508,-18.066,-35.645,-34.668,0.000,0
160107.342,-19.531,-15.625,-37.109,-33.691,0.000,0
160107.346,-17.090,-16.113,-44.922,-29.785,0.000,0
160107.349,-25.391,-20.020,-43.457,-31.250,0.000,0
160107.353,-22.461,-19.043,-54.688,-30.762,0.000,0
160107.357,-19.043,-16.113,-37.109,-30.273,0.000,0
160107.361,-20.020,-14.648,-20.508,-31.738,0.000,0
160107.365,-11.230,-15.625,-43.945,-27.344,0.000,0
160107.369,-11.230,-17.578,-42.969,-23.438,0.000,0
160107.373,-12.207,-17.578,-37.109,-22.949,0.000,0
160107.377,-14.160,-20.020,-26.367,-26.855,0.000,0
160107.381,-14.648,-21.973,-31.250,-39.062,0.000,0
160107.385,-20.020,-20.020,-42.480,-42.969,0.000,0
160107.388,-27.344,-16.602,-36.133,-30.762,0.000,0
160107.392,-22.461,-17.578,-35.645,-14.160,0.000,0
160107.396,-19.043,-21.484,-30.762,-27.832,0.000,0
160107.400,-24.414,-20.508,-25.391,-22.461,0.000,0
160107.404,-26.855,-22.461,-35.156,-12.695,0.000,0
160107.408,-13.672,-21.484,-53.711,-25.879,0.000,0
160107.412,0.977,-20.020,-33.203,-15.137,0.000,0
160107.416,4.883,-21.973,1.465,-12.207,0.000,0
160107.420,-10.254,-24.414,-19.531,-37.109,0.000,0
160107.424,-37.109,-26.855,-39.062,-58.594,0.000,0
160107.428,-39.551,-30.273,-28.320,-38.086,0.000,0
160107.431,-35.156,-31.250,-7.812,-23.926,0.000,0
160107.435,-20.996,-28.809,12.695,-27.344,0.000,0
160107.439,-17.090,-28.320,-9.766,-26.367,0.000,0
160107.443,-39.062,-31.738,-17.578,-33.203,0.000,0
160107.447,-39.551,-28.320,1.953,-25.391,0.000,0
160107.451,-36.133,-25.391,-5.859,-24.902,0.000,0
160107.455,-30.273,-28.809,-8.789,-36.621,0.000,0
160107.459,-17.090,-19.531,-11.719,-27.344,0.000,0
160107.463,-18.066,-15.137,-13.184,-15.625,0.000,0
160107.467,-12.207,-20.996,-23.438,-5.371,0.000,0
160107.471,-17.090,-24.414,-32.227,-9.277,0.000,0
160107.474,-29.297,-27.832,-14.648,-25.391,0.000,0
160107.478,-24.902,-25.391,-14.160,-14.648,0.000,0
160107.482,-13.672,-24.902,-36.133,2.930,0.000,0
160107.486,-11.230,-24.414,-37.109,8.789,0.000,0
160107.490,-15.625,-20.996,-13.184,-5.371,0.000,0
160107.494,-18.555,-20.508,1.953,-20.020,0.000,0
160107.498,-11.719,-18.555,-31.250,-20.996,0.000,0
160107.502,-16.113,-19.531,-45.898,-12.695,0.000,0
160107.506,-26.855,-22.949,-40.039,-2.930,0.000,0
160107.510,-28.809,-24.902,-45.898,-16.602,0.000,0
160107.513,-28.809,-28.320,-30.273,-34.668,0.000,0
160107.517,-24.902,-30.762,-34.668,-23.438,0.000,0
160107.521,-33.203,-29.785,-48.828,-31.250,0.000,0
